Philadelphia, Pennsylvania, United States
Ottawa, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, ON, CA
Toronto, Ontario, Canada
Toronto Division, Ontario, Canada
Brampton, Ontario, Canada
Pittsburgh, Pennsylvania, United States
Toronto, Ontario, Canada
Toronto, Ontario, Canada
Waterloo, Ontario, Canada
Madison, Wisconsin, United States
Hamilton, Ontario, Canada
Mississauga, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Edinburgh, Scotland, United Kingdom
Boston, Massachusetts, United States
London, Ontario, Canada
Philadelphia, Pennsylvania, United States
Rancho Cucamonga, California, United States
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Amherst, Massachusetts, United States
Boston, Massachusetts, United States
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Brampton, Ontario, Canada
Ann Arbor, Michigan, United States
Vancouver, British Columbia, Canada
Waterloo, Ontario, Canada
Mississauga, Ontario, Canada
Toronto, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Markham, Ontario, Canada
Montreal, Quebec, Canada
Waterloo, Ontario, Canada
Pittsburgh, Pennsylvania, United States
Waterloo, Ontario, Canada
Los Angeles, California, United States
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Toronto, Ontario, Canada
West Lafayette, Indiana, United States
Montreal, Quebec, Canada
Waterloo, Ontario, Canada
Los Angeles, California, United States
Toronto, Ontario, Canada
Waterloo, Ontario, Canada
College Park, Maryland, United States
Waterloo, Ontario, Canada
Kingston, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Mississauga, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Toronto, Ontario, Canada
Waterloo, Ontario, Canada
Atlanta, Georgia, United States
Toronto, Ontario, Canada
Champaign, Illinois, United States
Saint Louis, MO, US
London, Ontario, Canada
Mississauga, Ontario, Canada
Pittsburgh, Pennsylvania, United States
Montreal, Quebec, Canada
Toronto, Ontario, Canada
Waterloo, Ontario, Canada
Toronto, Ontario, Canada
Edmonton, Alberta, Canada
Provo, Utah, United States
Toronto, Ontario, Canada
Shanghai, Shanghai, China
Waterloo, Ontario, Canada
Manchester, England, United Kingdom
Waterloo, Ontario, Canada
Toronto, Ontario, Canada
Waterloo, Ontario, Canada
Toronto, Ontario, Canada
Mississauga, Ontario, Canada
Waterloo, Ontario, Canada
Waterloo, Ontario, Canada
Philadelphia, Pennsylvania, United States
Waterloo, Ontario, Canada
